alternative_names,classification,first_name,frequency_female,frequency_male,frequency_total,frequency_group,group_name,ratio
AILINE|ALEINE|ALIINE|ALINE|ALINER|ALINHE|ALINNE|ALYNE|ALYNNE|AYLINE|EALINE|ELEINE|ELINE|ELINER|ELINNE|ELYNE|EULINE|HALINE|HALYNE|HELEINE|HELINE|HELYNE|IALINE|ILEINE|ILINE|LEINE|LEINER|LEYNE|LINE|LINER|LUEINE|LUINE|LUYNE|LYNE|LYNNE|OLINE|UELINE,F,AALINE,66,,66,530550,ALINE,1.0
ARAAO|ARAO,M,AARAO,,281,281,3526,ARAO,1.0
AHARON|AROM|ARON|ARYON|HARON,M,AARON,,676,676,3442,ARON,1.0
ADA|ADAH|ADAR|ADHA|HADA,F,ABA,82,,82,5583,ADA,1.0
,M,ABADE,,57,57,57,ABADE,1.0
ABADIR,M,ABADI,,73,73,116,ABADI,1.0
,F,ABADIA,7438,127,7565,7565,ABADIA,0.983212161269002
,M,ABADIAS,45,156,201,201,ABADIAS,0.7761194029850746
,M,ABADIO,,1550,1550,1550,ABADIO,1.0
ABETE|ADETE,M,ABAETE,,39,39,233,ADETE,1.0
,M,ABD,,23,23,23,ABD,1.0
ADDA,F,ABDA,343,,343,485,ABDA,1.0
ABDAEL|ABDEEL|ABDEL|ABDIEL|ABDUL|ADBEEL|ADBEL|ADBIEL,M,ABDAL,,32,32,1564,ABDIEL,1.0
,M,ABDALA,,346,346,346,ABDALA,1.0
ABDALLAH,M,ABDALLA,,87,87,149,ABDALLA,1.0
ABDALLA,M,ABDALLAH,,62,62,149,ABDALLA,1.0
,M,ABDAO,,67,67,67,ABDAO,1.0
ABDER|ADBE,M,ABDE,,21,21,45,ABDER,1.0
ABDAEL|ABDAL|ABDEL|ABDIEL|ABDUL|ADBEEL|ADBEL|ADBIEL,M,ABDEEL,,34,34,1564,ABDIEL,1.0
ABDAEL|ABDAL|ABDEEL|ABDIEL|ABDUL|ADBEEL|ADBEL|ADBIEL,M,ABDEL,,207,207,1564,ABDIEL,1.0
,M,ABDENAGO,,70,70,70,ABDENAGO,1.0
,M,ABDENEGO,,189,189,189,ABDENEGO,1.0
,M,ABDENICO,,22,22,22,ABDENICO,1.0
,M,ABDENIGO,,28,28,28,ABDENIGO,1.0
,M,ABDENIO,,50,50,50,ABDENIO,1.0
,M,ABDENOR,,43,43,43,ABDENOR,1.0
ABDE|ADBE,M,ABDER,,24,24,45,ABDER,1.0
,M,ABDERMAN,,71,71,71,ABDERMAN,1.0
ABDIR|ADBI|ADDY,M,ABDI,,39,39,111,ABDI,1.0
,M,ABDIA,,100,100,100,ABDIA,1.0
,M,ABDIAS,28,5153,5181,5181,ABDIAS,0.9945956379077399
ABDAEL|ABDAL|ABDEEL|ABDEL|ABDUL|ADBEEL|ADBEL|ADBIEL,M,ABDIEL,,999,999,1564,ABDIEL,1.0
,M,ABDISIO,,24,24,24,ABDISIO,1.0
,M,ABDNEGO,,54,54,54,ABDNEGO,1.0
,M,ABDO,,514,514,514,ABDO,1.0
ABDON,M,ABDOM,,203,203,1716,ABDON,1.0
ABDOM,M,ABDON,,1513,1513,1716,ABDON,1.0
,M,ABDORAL,,531,531,531,ABDORAL,1.0
,M,ABDU,,90,90,90,ABDU,1.0
ABDAEL|ABDAL|ABDEEL|ABDEL|ABDIEL|ADBEEL|ADBEL|ADBIEL,M,ABDUL,,229,229,1564,ABDIEL,1.0
ABER|ADE|ADER|HADER,M,ABE,,26,26,746,ADER,1.0
ADECIO,M,ABECIO,,33,33,1236,ADECIO,1.0
,M,ABEDENEGO,,81,81,81,ABEDENEGO,1.0
ADEDIAS,M,ABEDIAS,,749,749,749,ABEDIAS,1.0
ADEBAL,M,ABEDIEL,,103,103,269,ADEBAL,1.0
,M,ABEDNEGO,,51,51,51,ABEDNEGO,1.0
,M,ABEDON,,37,37,37,ABEDON,1.0
ADEGIL,F,ABEGAIL,239,,239,266,ABEGAIL,1.0
ADEGAIR|ADEJAIR,F,ABEGAIR,114,,114,838,ADEJAIR,1.0
ABELARD,M,ABEILARD,,21,21,56,ABELARD,1.0
ADAILDO|ADALDO|ADEALDO|ADEILDO|ADELDO|ADILDO|ADOALDO|ADUALDO,M,ABEILDO,,58,58,13305,ADEILDO,1.0
ADAELTON|ADAILTOM|ADAILTON|ADALTOM|ADALTON|ADAYLTON|ADEILTOM|ADEILTON|ADELTOM|ADELTON|ADIELTON|ADILTOM|ADILTON|ADOILTON|HADAILTON,M,ABEILTON,,56,56,72318,ADAILTON,1.0
ABIAIL|ABIEL|ABIL|ADAEL|ADAHIL|ADAHYL|ADAIL|ADAL|ADAYL|ADEIL|ADEL|ADIEL|ADIL|ADOEL|ADUIL|ADYEL|ADYL,M,ABEL,194,26697,26891,42182,ABEL,0.9927856903796809
ABELAR|ABILA|ABILHA|ABLA|ADAILA|ADALA|ADALHA|ADEILA|ADELA|ADELAR|ADELHA|ADILA|ADILAR|ADILHA|ADLA|ADLAR|ADOLAR|ADYLA|HADILA|HADLA,F,ABELA,51,,51,20461,ADELAR,1.0
ABELA|ABILA|ABILHA|ABLA|ADAILA|ADALA|ADALHA|ADEILA|ADELA|ADELAR|ADELHA|ADILA|ADILAR|ADILHA|ADLA|ADLAR|ADOLAR|ADYLA|HADILA|HADLA,M,ABELAR,,383,383,20461,ADELAR,1.0
ABEILARD,M,ABELARD,,35,35,56,ABELARD,1.0
,F,ABELARDA,24,,24,24,ABELARDA,1.0
ADALARDO|ADELARDO,M,ABELARDO,,5712,5712,5898,ABELARDO,1.0
ABILI|ADAELI|ADALI|ADALIR|ADALY|ADELEI|ADELI|ADELIR|ADELY|ADIELI|ADIELY|ADILEI|ADILEY|ADILI|ADLEI|ADLEY|ADLI|ADLY|ADOLI|ADOLIR|HADLEY,F,ABELI,40,,40,8037,ADELIR,1.0
ADALICE|ADELICE,F,ABELICE,66,,66,5069,ADELICE,1.0
ADALICIA|ADELICIA,F,ABELICIA,21,,21,1643,ADELICIA,1.0
ADALINA|ADELINA|ADILINA|ADLINA|ADOLINA,F,ABELINA,1045,,1045,30343,ADELINA,1.0
ABILINO|ADALINO|ADELINO|ADILINO|ADLINO|ADOLINO,M,ABELINO,,1193,1193,26586,ADELINO,1.0
ABILHIO|ABILIO|ABLIO|ADAELIO|ADAILIO|ADALIO|ADELIO|ADILHIO|ADILIO|ADLIO|ADUILIO,M,ABELIO,,104,104,25665,ABILIO,1.0
ADALIRIO|ADELIRIO,M,ABELIRIO,,40,40,469,ADELIRIO,1.0
ADALITA|ADELITA,F,ABELITA,423,,423,4342,ADELITA,1.0
ABILMAR|ADAELMA|ADAILMA|ADALMA|ADALMAR|ADEILMA|ADELMA|ADELMAR|ADIELMA|ADILMA|ADILMAR,M,ABELMAR,,37,37,13240,ADELMA,1.0
ABELOR|ABILHO|ABILO|ABLO|ADAILO|ADALHO|ADALO|ADELHO|ADELO|ADELOR|ADILHO|ADILO|ADILOR|ADUILO,M,ABELO,,152,152,2849,ADILHO,1.0
ABELO|ABILHO|ABILO|ABLO|ADAILO|ADALHO|ADALO|ADELHO|ADELO|ADELOR|ADILHO|ADILO|ADILOR|ADUILO,M,ABELOR,,22,22,2849,ADILHO,1.0
ABEILSON|ADAELSOM|ADAELSON|ADAILSOM|ADAILSON|ADAILZON|ADALSON|ADEILSOM|ADEILSON|ADELSOM|ADELSON|ADELZON|ADEYLSON|ADIELSOM|ADIELSON|ADIILSON|ADILSOM|ADILSON|ADLSOM|ADLSON|ADOILSOM|ADOILSON|ADOLSON|ADUILSON|ADYLSON|HADILSON,M,ABELSON,,83,83,226962,ADILSON,1.0
ADEMAEL|ADEMIL,M,ABEMAEL,,79,79,676,ADEMIL,1.0
ADEMO|ADEMOR,M,ABEMOR,,23,23,206,ADEMOR,1.0
,M,ABENAIAS,,75,75,75,ABENAIAS,1.0
ADENAIDE,F,ABENAIDE,22,,22,282,ADENAIDE,1.0
ADENAI|ADENAIR|ADENIA,F,ABENAIR,54,30,84,835,ADENAIR,0.6428571428571429
ABENILDO|ADENAILDO|ADENALDO|ADENILDO|ADENOALDO,M,ABENALDO,,41,41,6362,ADENILDO,1.0
ABENER|ADAENE|ADENE|ADENER,M,ABENE,,65,65,439,ABENER,1.0
